title,level,salary,location,skills,company,source
Data Scientist,Manager,125 triệu,Ho Chi Minh,"GCP, JavaScript",Demo Company,Sample data for demo purposes
QA Engineer,Junior,30 triệu,Hanoi,"Kubernetes, Java, Docker, AWS",Demo Company,Sample data for demo purposes
Product Manager,Senior,65 triệu,Hanoi,"GCP, Machine Learning, Java, Azure, NoSQL",Demo Company,Sample data for demo purposes
QA Engineer,Senior,60 triệu,Remote,"Python, AWS, Node.js, GCP",Demo Company,Sample data for demo purposes
Fullstack Developer,Mid-level,30 triệu,Ho Chi Minh,"AWS, Docker, GCP, JavaScript",Demo Company,Sample data for demo purposes
Frontend Developer,Intern,10 triệu,Da Nang,"React, Kubernetes",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,20 triệu,Ho Chi Minh,"Python, Machine Learning",Demo Company,Sample data for demo purposes
Backend Developer,Junior,6 triệu,Da Nang,"Deep Learning, GCP, Java",Demo Company,Sample data for demo purposes
QA Engineer,Junior,20 triệu,Ho Chi Minh,"SQL, AWS, Docker, GCP",Demo Company,Sample data for demo purposes
Software Engineer,Junior,30 triệu,Ho Chi Minh,"SQL, AWS, NoSQL, Kubernetes, Machine Learning",Demo Company,Sample data for demo purposes
Data Scientist,Junior,20 triệu,Hanoi,"Java, Azure, Node.js, NoSQL, Python",Demo Company,Sample data for demo purposes
Backend Developer,Senior,60 triệu,Hanoi,"Azure, Machine Learning, Python, Deep Learning, JavaScript",Demo Company,Sample data for demo purposes
Fullstack Developer,Intern,13 triệu,Da Nang,"SQL, NoSQL, Node.js, Docker",Demo Company,Sample data for demo purposes
Project Manager,Junior,25 triệu,Hanoi,"Kubernetes, React, Java",Demo Company,Sample data for demo purposes
Backend Developer,Intern,9 triệu,Da Nang,"JavaScript, Node.js",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,35 triệu,Ho Chi Minh,"Deep Learning, Docker, Python, React",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,20 triệu,Da Nang,"AWS, JavaScript, NoSQL, Java",Demo Company,Sample data for demo purposes
DevOps Engineer,Mid-level,40 triệu,Ho Chi Minh,"Machine Learning, NoSQL, Kubernetes",Demo Company,Sample data for demo purposes
DevOps Engineer,Manager,120 triệu,Hanoi,"Azure, AWS, Node.js, Python",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,45 triệu,Hanoi,"GCP, Python",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,20 triệu,Remote,"Java, Python, Deep Learning, React, NoSQL",Demo Company,Sample data for demo purposes
Project Manager,Junior,19 triệu,Hanoi,"Java, Node.js",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,25 triệu,Da Nang,"Azure, React, Java, Kubernetes, SQL",Demo Company,Sample data for demo purposes
Project Manager,Senior,65 triệu,Da Nang,"SQL, Machine Learning, Azure, Deep Learning, Java",Demo Company,Sample data for demo purposes
Business Analyst,Manager,75 triệu,Ho Chi Minh,"Node.js, NoSQL, Azure, Java, GCP",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,45 triệu,Hanoi,"Machine Learning, JavaScript",Demo Company,Sample data for demo purposes
Data Scientist,Senior,40 triệu,Hanoi,"Python, Azure, Docker",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,60 triệu,Hanoi,"React, Azure, Deep Learning",Demo Company,Sample data for demo purposes
Frontend Developer,Mid-level,35 triệu,Hanoi,"SQL, Machine Learning, Python",Demo Company,Sample data for demo purposes
Business Analyst,Manager,135 triệu,Hanoi,"JavaScript, GCP, Deep Learning",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,45 triệu,Ho Chi Minh,"Deep Learning, Java, AWS",Demo Company,Sample data for demo purposes
Business Analyst,Junior,20 triệu,Ho Chi Minh,"GCP, AWS, Deep Learning, JavaScript",Demo Company,Sample data for demo purposes
QA Engineer,Mid-level,45 triệu,Hanoi,"React, Python, Docker, Kubernetes, Java",Demo Company,Sample data for demo purposes
Software Engineer,Junior,13 triệu,Remote,"SQL, Docker, Java, Kubernetes, Azure",Demo Company,Sample data for demo purposes
Software Engineer,Junior,13 triệu,Ho Chi Minh,"JavaScript, Azure, GCP",Demo Company,Sample data for demo purposes
Mobile Developer,Junior,18 triệu,Ho Chi Minh,"NoSQL, Docker, Java, GCP, Machine Learning",Demo Company,Sample data for demo purposes
Business Analyst,Senior,50 triệu,Ho Chi Minh,"Node.js, SQL, Docker, Python",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,30 triệu,Hanoi,"SQL, Docker, Node.js, Kubernetes",Demo Company,Sample data for demo purposes
Software Engineer,Senior,50 triệu,Da Nang,"Kubernetes, Deep Learning, Machine Learning, React",Demo Company,Sample data for demo purposes
Data Analyst,Junior,12 triệu,Hanoi,"Deep Learning, Machine Learning",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,35 triệu,Ho Chi Minh,"React, Azure, Kubernetes, Java",Demo Company,Sample data for demo purposes
Data Analyst,Senior,55 triệu,Hanoi,"JavaScript, SQL, NoSQL",Demo Company,Sample data for demo purposes
Project Manager,Junior,12 triệu,Da Nang,"Azure, Node.js, Kubernetes",Demo Company,Sample data for demo purposes
Business Analyst,Junior,20 triệu,Hanoi,"Node.js, Azure, NoSQL",Demo Company,Sample data for demo purposes
Frontend Developer,Junior,17 triệu,Ho Chi Minh,"GCP, React, Node.js, Deep Learning, Kubernetes",Demo Company,Sample data for demo purposes
Mobile Developer,Junior,20 triệu,Hanoi,"Azure, Docker, AWS",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,65 triệu,Hanoi,"Deep Learning, JavaScript",Demo Company,Sample data for demo purposes
Data Scientist,Intern,9 triệu,Da Nang,"Python, AWS, Azure, NoSQL",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,25 triệu,Hanoi,"Python, NoSQL, JavaScript",Demo Company,Sample data for demo purposes
Frontend Developer,Manager,140 triệu,Ho Chi Minh,"AWS, Deep Learning, Azure",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,30 triệu,Hanoi,"SQL, JavaScript, React",Demo Company,Sample data for demo purposes
Data Scientist,Lead,95 triệu,Hanoi,"GCP, Python, Java, JavaScript",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,35 triệu,Hanoi,"Java, Machine Learning",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,35 triệu,Ho Chi Minh,"Kubernetes, Java, JavaScript, React",Demo Company,Sample data for demo purposes
Frontend Developer,Mid-level,35 triệu,Ho Chi Minh,"React, Machine Learning, JavaScript, NoSQL",Demo Company,Sample data for demo purposes
Product Manager,Lead,70 triệu,Hanoi,"AWS, React",Demo Company,Sample data for demo purposes
Data Analyst,Junior,14 triệu,Hanoi,"Node.js, React",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,35 triệu,Ho Chi Minh,"Java, Azure, SQL, Deep Learning, React",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,75 triệu,Ho Chi Minh,"Java, React, Docker",Demo Company,Sample data for demo purposes
QA Engineer,Senior,60 triệu,Hanoi,"Docker, JavaScript, AWS",Demo Company,Sample data for demo purposes
Frontend Developer,Mid-level,30 triệu,Remote,"Java, Docker, JavaScript, Azure, Deep Learning",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,45 triệu,Ho Chi Minh,"Docker, NoSQL, JavaScript, Java, Azure",Demo Company,Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Da Nang,"Kubernetes, JavaScript, Node.js, AWS",Demo Company,Sample data for demo purposes
Data Analyst,Lead,80 triệu,Others,"Python, SQL, Machine Learning, Node.js",Demo Company,Sample data for demo purposes
Mobile Developer,Junior,13 triệu,Ho Chi Minh,"SQL, AWS",Demo Company,Sample data for demo purposes
Fullstack Developer,Mid-level,40 triệu,Remote,"Node.js, Deep Learning",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,25 triệu,Ho Chi Minh,"NoSQL, Deep Learning, AWS",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,55 triệu,Ho Chi Minh,"Machine Learning, Docker, GCP",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,40 triệu,Ho Chi Minh,"Deep Learning, JavaScript, GCP, AWS",Demo Company,Sample data for demo purposes
Project Manager,Senior,40 triệu,Ho Chi Minh,"Docker, Kubernetes, React, Deep Learning",Demo Company,Sample data for demo purposes
Fullstack Developer,Mid-level,30 triệu,Ho Chi Minh,"Kubernetes, SQL, NoSQL",Demo Company,Sample data for demo purposes
Project Manager,Senior,65 triệu,Da Nang,"SQL, GCP, Node.js, AWS",Demo Company,Sample data for demo purposes
Frontend Developer,Senior,45 triệu,Ho Chi Minh,"Java, Docker",Demo Company,Sample data for demo purposes
QA Engineer,Mid-level,40 triệu,Hanoi,"Deep Learning, NoSQL, Azure, React, Python",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,45 triệu,Remote,"JavaScript, GCP, AWS",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,55 triệu,Hanoi,"React, Python, Java",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,55 triệu,Hanoi,"Python, Deep Learning, React, Java, SQL",Demo Company,Sample data for demo purposes
DevOps Engineer,Lead,65 triệu,Ho Chi Minh,"AWS, Kubernetes",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,14 triệu,Hanoi,"Kubernetes, Python, AWS, GCP, Machine Learning",Demo Company,Sample data for demo purposes
Product Manager,Mid-level,30 triệu,Hanoi,"Deep Learning, AWS, GCP, NoSQL, Docker",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,30 triệu,Hanoi,"Python, Docker, Kubernetes",Demo Company,Sample data for demo purposes
Software Engineer,Senior,55 triệu,Remote,"Docker, NoSQL, GCP",Demo Company,Sample data for demo purposes
Frontend Developer,Junior,15 triệu,Hanoi,"React, Machine Learning, SQL",Demo Company,Sample data for demo purposes
Data Scientist,Junior,15 triệu,Others,"React, AWS, Node.js, Deep Learning, Docker",Demo Company,Sample data for demo purposes
Data Analyst,Senior,45 triệu,Ho Chi Minh,"Azure, NoSQL",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,45 triệu,Hanoi,"GCP, Machine Learning",Demo Company,Sample data for demo purposes
Mobile Developer,Junior,19 triệu,Da Nang,"Docker, JavaScript, Kubernetes, AWS",Demo Company,Sample data for demo purposes
Project Manager,Senior,55 triệu,Ho Chi Minh,"Deep Learning, Azure, NoSQL, Java, Machine Learning",Demo Company,Sample data for demo purposes
Data Scientist,Senior,60 triệu,Da Nang,"Java, NoSQL",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,45 triệu,Da Nang,"NoSQL, Node.js, GCP, Java",Demo Company,Sample data for demo purposes
Backend Developer,Junior,19 triệu,Da Nang,"NoSQL, Java",Demo Company,Sample data for demo purposes
Product Manager,Mid-level,40 triệu,Ho Chi Minh,"React, AWS, Kubernetes, Python, Docker",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Ho Chi Minh,"Docker, React, Machine Learning, Java, Node.js",Demo Company,Sample data for demo purposes
Software Engineer,Junior,19 triệu,Da Nang,"React, GCP",Demo Company,Sample data for demo purposes
Frontend Developer,Junior,12 triệu,Hanoi,"Kubernetes, Python",Demo Company,Sample data for demo purposes
Project Manager,Manager,145 triệu,Ho Chi Minh,"Java, Node.js",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,80 triệu,Hanoi,"Java, NoSQL, Deep Learning, Docker, Kubernetes",Demo Company,Sample data for demo purposes
Frontend Developer,Mid-level,35 triệu,Ho Chi Minh,"Machine Learning, Kubernetes, AWS, GCP, SQL",Demo Company,Sample data for demo purposes
Project Manager,Senior,70 triệu,Ho Chi Minh,"Machine Learning, Node.js, AWS, Deep Learning",Demo Company,Sample data for demo purposes
Fullstack Developer,Mid-level,30 triệu,Ho Chi Minh,"Node.js, GCP, Kubernetes",Demo Company,Sample data for demo purposes
Frontend Developer,Senior,55 triệu,Ho Chi Minh,"Python, Deep Learning, GCP",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Remote,"Kubernetes, AWS, Azure, React, Node.js",Demo Company,Sample data for demo purposes
Project Manager,Lead,95 triệu,Ho Chi Minh,"JavaScript, Azure, React",Demo Company,Sample data for demo purposes
Backend Developer,Mid-level,35 triệu,Hanoi,"AWS, Java, GCP, NoSQL",Demo Company,Sample data for demo purposes
Backend Developer,Junior,11 triệu,Hanoi,"SQL, NoSQL",Demo Company,Sample data for demo purposes
Backend Developer,Junior,25 triệu,Hanoi,"AWS, Java, Kubernetes, NoSQL",Demo Company,Sample data for demo purposes
QA Engineer,Senior,65 triệu,Hanoi,"Java, React, Python, AWS, NoSQL",Demo Company,Sample data for demo purposes
Data Scientist,Junior,25 triệu,Hanoi,"Java, Deep Learning",Demo Company,Sample data for demo purposes
Data Analyst,Senior,50 triệu,Remote,"Azure, Docker, Kubernetes, GCP",Demo Company,Sample data for demo purposes
Product Manager,Senior,45 triệu,Hanoi,"AWS, SQL",Demo Company,Sample data for demo purposes
QA Engineer,Senior,45 triệu,Remote,"SQL, Machine Learning, GCP",Demo Company,Sample data for demo purposes
Project Manager,Manager,125 triệu,Remote,"NoSQL, Java, Kubernetes",Demo Company,Sample data for demo purposes
Software Engineer,Junior,10 triệu,Ho Chi Minh,"Machine Learning, Kubernetes",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,35 triệu,Others,"Azure, GCP",Demo Company,Sample data for demo purposes
Mobile Developer,Senior,55 triệu,Ho Chi Minh,"Node.js, Machine Learning",Demo Company,Sample data for demo purposes
Product Manager,Junior,25 triệu,Da Nang,"JavaScript, NoSQL, Deep Learning",Demo Company,Sample data for demo purposes
Mobile Developer,Junior,12 triệu,Hanoi,"NoSQL, Machine Learning",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,40 triệu,Hanoi,"React, NoSQL, Kubernetes, Python",Demo Company,Sample data for demo purposes
Backend Developer,Mid-level,30 triệu,Hanoi,"Docker, NoSQL, GCP, Python",Demo Company,Sample data for demo purposes
Business Analyst,Senior,50 triệu,Hanoi,"Deep Learning, React, Node.js, Java",Demo Company,Sample data for demo purposes
Backend Developer,Mid-level,30 triệu,Hanoi,"Python, AWS",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,40 triệu,Hanoi,"Python, Kubernetes, Machine Learning, Deep Learning, React",Demo Company,Sample data for demo purposes
Product Manager,Lead,85 triệu,Hanoi,"Machine Learning, NoSQL, Docker",Demo Company,Sample data for demo purposes
QA Engineer,Junior,25 triệu,Ho Chi Minh,"Node.js, React",Demo Company,Sample data for demo purposes
QA Engineer,Lead,65 triệu,Ho Chi Minh,"Java, JavaScript, Node.js",Demo Company,Sample data for demo purposes
Frontend Developer,Mid-level,25 triệu,Hanoi,"Azure, Deep Learning, JavaScript",Demo Company,Sample data for demo purposes
Backend Developer,Lead,70 triệu,Ho Chi Minh,"AWS, Machine Learning, SQL, Python",Demo Company,Sample data for demo purposes
Frontend Developer,Mid-level,35 triệu,Hanoi,"Deep Learning, Node.js, NoSQL",Demo Company,Sample data for demo purposes
Software Engineer,Senior,60 triệu,Hanoi,"Deep Learning, GCP, Azure, AWS, Node.js",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,16 triệu,Ho Chi Minh,"Python, Java, Deep Learning, SQL, AWS",Demo Company,Sample data for demo purposes
Software Engineer,Intern,11 triệu,Hanoi,"SQL, NoSQL, JavaScript, Docker, AWS",Demo Company,Sample data for demo purposes
Data Scientist,Senior,55 triệu,Hanoi,"Azure, GCP, SQL, Java",Demo Company,Sample data for demo purposes
Frontend Developer,Senior,65 triệu,Ho Chi Minh,"GCP, Java, React, Node.js, Docker",Demo Company,Sample data for demo purposes
QA Engineer,Junior,9 triệu,Da Nang,"Azure, React",Demo Company,Sample data for demo purposes
Software Engineer,Manager,95 triệu,Hanoi,"Python, Java, Deep Learning",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Hanoi,"Machine Learning, GCP, Deep Learning, Python",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,25 triệu,Hanoi,"AWS, Deep Learning, JavaScript, SQL, Docker",Demo Company,Sample data for demo purposes
Frontend Developer,Mid-level,30 triệu,Ho Chi Minh,"Azure, Machine Learning",Demo Company,Sample data for demo purposes
Fullstack Developer,Junior,16 triệu,Hanoi,"Deep Learning, Python, Kubernetes",Demo Company,Sample data for demo purposes
Frontend Developer,Senior,50 triệu,Da Nang,"SQL, React, Machine Learning, JavaScript",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Hanoi,"JavaScript, Kubernetes, Node.js, GCP, Azure",Demo Company,Sample data for demo purposes
Project Manager,Lead,95 triệu,Ho Chi Minh,"GCP, Azure, Machine Learning",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,40 triệu,Hanoi,"Deep Learning, Kubernetes, AWS, JavaScript",Demo Company,Sample data for demo purposes
Fullstack Developer,Mid-level,30 triệu,Ho Chi Minh,"AWS, Kubernetes, React",Demo Company,Sample data for demo purposes
Software Engineer,Senior,35 triệu,Others,"Java, JavaScript, Machine Learning, NoSQL",Demo Company,Sample data for demo purposes
QA Engineer,Mid-level,45 triệu,Da Nang,"AWS, GCP, Docker, Azure, Machine Learning",Demo Company,Sample data for demo purposes
Data Scientist,Intern,10 triệu,Ho Chi Minh,"Azure, NoSQL",Demo Company,Sample data for demo purposes
Backend Developer,Mid-level,30 triệu,Hanoi,"Python, Kubernetes, NoSQL, JavaScript, Docker",Demo Company,Sample data for demo purposes
QA Engineer,Junior,15 triệu,Hanoi,"Machine Learning, NoSQL, Python, Java",Demo Company,Sample data for demo purposes
Fullstack Developer,Junior,25 triệu,Ho Chi Minh,"React, Node.js, NoSQL, Python, JavaScript",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,35 triệu,Hanoi,"Node.js, Java, AWS, SQL",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,20 triệu,Ho Chi Minh,"GCP, AWS, React",Demo Company,Sample data for demo purposes
Data Analyst,Lead,75 triệu,Ho Chi Minh,"Deep Learning, Java, React, JavaScript",Demo Company,Sample data for demo purposes
Fullstack Developer,Junior,25 triệu,Hanoi,"NoSQL, Python, Node.js",Demo Company,Sample data for demo purposes
Frontend Developer,Junior,20 triệu,Ho Chi Minh,"Docker, Machine Learning, Kubernetes",Demo Company,Sample data for demo purposes
