title,level,salary,location,skills,company,source
Data Analyst,Junior,20 triệu,Ho Chi Minh,"Kubernetes, GCP, Azure",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,55 triệu,Hanoi,"Kubernetes, Node.js, Docker",Demo Company,Sample data for demo purposes
Data Scientist,Lead,75 triệu,Ho Chi Minh,"NoSQL, Node.js, AWS, React, Azure",Demo Company,Sample data for demo purposes
Data Analyst,Manager,105 triệu,Hanoi,"Deep Learning, React, AWS, Docker",Demo Company,Sample data for demo purposes
QA Engineer,Senior,45 triệu,Hanoi,"Deep Learning, GCP, Java",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,40 triệu,Ho Chi Minh,"Docker, Kubernetes, Azure",Demo Company,Sample data for demo purposes
Data Analyst,Junior,17 triệu,Hanoi,"Python, SQL",Demo Company,Sample data for demo purposes
Product Manager,Mid-level,35 triệu,Ho Chi Minh,"SQL, Node.js, Kubernetes",Demo Company,Sample data for demo purposes
Fullstack Developer,Junior,12 triệu,Remote,"SQL, Kubernetes",Demo Company,Sample data for demo purposes
Data Analyst,Senior,65 triệu,Hanoi,"Python, NoSQL, Java, Docker",Demo Company,Sample data for demo purposes
Project Manager,Senior,45 triệu,Da Nang,"AWS, GCP, Docker, Azure",Demo Company,Sample data for demo purposes
Data Scientist,Senior,40 triệu,Ho Chi Minh,"React, Java, Docker",Demo Company,Sample data for demo purposes
Project Manager,Senior,35 triệu,Ho Chi Minh,"JavaScript, Deep Learning, GCP",Demo Company,Sample data for demo purposes
Backend Developer,Lead,65 triệu,Ho Chi Minh,"Azure, Deep Learning",Demo Company,Sample data for demo purposes
Data Scientist,Senior,60 triệu,Ho Chi Minh,"Docker, SQL, Python",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,45 triệu,Ho Chi Minh,"JavaScript, React, GCP",Demo Company,Sample data for demo purposes
Mobile Developer,Lead,85 triệu,Da Nang,"GCP, Deep Learning, Machine Learning, Java, NoSQL",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,25 triệu,Ho Chi Minh,"NoSQL, Java, Deep Learning, Kubernetes, Machine Learning",Demo Company,Sample data for demo purposes
Data Analyst,Senior,45 triệu,Ho Chi Minh,"Azure, Kubernetes, NoSQL",Demo Company,Sample data for demo purposes
Data Analyst,Manager,95 triệu,Ho Chi Minh,"React, Python, Deep Learning, AWS",Demo Company,Sample data for demo purposes
Project Manager,Manager,125 triệu,Da Nang,"Azure, GCP, AWS, JavaScript, Node.js",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,40 triệu,Ho Chi Minh,"Node.js, NoSQL",Demo Company,Sample data for demo purposes
Product Manager,Mid-level,35 triệu,Hanoi,"Docker, Python, GCP",Demo Company,Sample data for demo purposes
Data Scientist,Lead,90 triệu,Hanoi,"GCP, Docker, Python, Azure, React",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,19 triệu,Ho Chi Minh,"Azure, JavaScript, AWS, GCP, Kubernetes",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,50 triệu,Ho Chi Minh,"GCP, Machine Learning",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,65 triệu,Hanoi,"Machine Learning, AWS, SQL",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,60 triệu,Ho Chi Minh,"JavaScript, Python, Java",Demo Company,Sample data for demo purposes
Fullstack Developer,Intern,12 triệu,Hanoi,"Machine Learning, Deep Learning, Docker",Demo Company,Sample data for demo purposes
Backend Developer,Senior,50 triệu,Da Nang,"AWS, Java, NoSQL",Demo Company,Sample data for demo purposes
Project Manager,Senior,55 triệu,Ho Chi Minh,"NoSQL, Kubernetes, AWS, Node.js, JavaScript",Demo Company,Sample data for demo purposes
Data Scientist,Senior,50 triệu,Hanoi,"SQL, Java, Machine Learning, NoSQL, Azure",Demo Company,Sample data for demo purposes
Software Engineer,Senior,60 triệu,Ho Chi Minh,"Node.js, JavaScript",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,50 triệu,Ho Chi Minh,"GCP, Node.js, Java",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,40 triệu,Ho Chi Minh,"Python, Java",Demo Company,Sample data for demo purposes
Business Analyst,Manager,115 triệu,Hanoi,"Azure, Python",Demo Company,Sample data for demo purposes
Product Manager,Senior,40 triệu,Da Nang,"Machine Learning, React, Java",Demo Company,Sample data for demo purposes
Project Manager,Junior,13 triệu,Hanoi,"Azure, JavaScript, Machine Learning",Demo Company,Sample data for demo purposes
Data Analyst,Lead,80 triệu,Remote,"GCP, Python, AWS, Docker",Demo Company,Sample data for demo purposes
Product Manager,Mid-level,40 triệu,Ho Chi Minh,"NoSQL, Java, Azure, Deep Learning",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,35 triệu,Hanoi,"Python, React, Docker",Demo Company,Sample data for demo purposes
Product Manager,Senior,50 triệu,Ho Chi Minh,"SQL, Azure, Kubernetes, Node.js",Demo Company,Sample data for demo purposes
Frontend Developer,Senior,55 triệu,Ho Chi Minh,"React, GCP, Deep Learning",Demo Company,Sample data for demo purposes
Mobile Developer,Junior,20 triệu,Hanoi,"GCP, React, SQL, Docker, Deep Learning",Demo Company,Sample data for demo purposes
Mobile Developer,Senior,65 triệu,Ho Chi Minh,"Machine Learning, JavaScript, Deep Learning, GCP",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,11 triệu,Hanoi,"Deep Learning, Node.js, GCP",Demo Company,Sample data for demo purposes
Mobile Developer,Junior,18 triệu,Hanoi,"React, AWS, Docker, Python, Machine Learning",Demo Company,Sample data for demo purposes
Data Analyst,Manager,105 triệu,Hanoi,"AWS, Kubernetes, Deep Learning, NoSQL, JavaScript",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,35 triệu,Others,"Machine Learning, Node.js, Python",Demo Company,Sample data for demo purposes
Frontend Developer,Senior,50 triệu,Hanoi,"SQL, Machine Learning, NoSQL, Azure",Demo Company,Sample data for demo purposes
Software Engineer,Manager,145 triệu,Ho Chi Minh,"JavaScript, AWS",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,45 triệu,Da Nang,"Deep Learning, Machine Learning, AWS, Docker, Node.js",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,45 triệu,Hanoi,"Azure, GCP, Deep Learning",Demo Company,Sample data for demo purposes
DevOps Engineer,Lead,80 triệu,Others,"Java, Machine Learning, JavaScript",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,30 triệu,Da Nang,"SQL, AWS",Demo Company,Sample data for demo purposes
Software Engineer,Junior,20 triệu,Hanoi,"Docker, Node.js, Azure, JavaScript, Python",Demo Company,Sample data for demo purposes
Frontend Developer,Junior,12 triệu,Hanoi,"Python, Machine Learning, Kubernetes, Node.js",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,50 triệu,Hanoi,"JavaScript, Java, Docker, React, SQL",Demo Company,Sample data for demo purposes
Fullstack Developer,Junior,25 triệu,Hanoi,"GCP, JavaScript",Demo Company,Sample data for demo purposes
QA Engineer,Senior,40 triệu,Ho Chi Minh,"Python, NoSQL, GCP, Node.js, Deep Learning",Demo Company,Sample data for demo purposes
Mobile Developer,Senior,60 triệu,Hanoi,"JavaScript, Machine Learning, NoSQL, AWS, Azure",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,35 triệu,Ho Chi Minh,"Azure, SQL, Docker",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,25 triệu,Hanoi,"React, Python, Docker, JavaScript, Java",Demo Company,Sample data for demo purposes
Frontend Developer,Senior,60 triệu,Hanoi,"React, Docker, Node.js, JavaScript, Deep Learning",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,25 triệu,Hanoi,"Java, Python, Machine Learning, SQL, React",Demo Company,Sample data for demo purposes
Product Manager,Junior,25 triệu,Hanoi,"GCP, Node.js, Deep Learning",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,60 triệu,Hanoi,"Python, Deep Learning, Azure",Demo Company,Sample data for demo purposes
Frontend Developer,Junior,16 triệu,Ho Chi Minh,"Python, Java, JavaScript",Demo Company,Sample data for demo purposes
Product Manager,Junior,18 triệu,Ho Chi Minh,"Azure, Python, GCP, Node.js",Demo Company,Sample data for demo purposes
Product Manager,Senior,45 triệu,Hanoi,"Node.js, Python, JavaScript",Demo Company,Sample data for demo purposes
QA Engineer,Senior,35 triệu,Ho Chi Minh,"GCP, Azure, Machine Learning",Demo Company,Sample data for demo purposes
Software Engineer,Senior,70 triệu,Hanoi,"AWS, React, Docker",Demo Company,Sample data for demo purposes
QA Engineer,Junior,20 triệu,Ho Chi Minh,"NoSQL, Machine Learning, Docker, JavaScript, Node.js",Demo Company,Sample data for demo purposes
Product Manager,Mid-level,40 triệu,Hanoi,"Machine Learning, React",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,35 triệu,Da Nang,"React, Azure, Docker",Demo Company,Sample data for demo purposes
Software Engineer,Junior,25 triệu,Ho Chi Minh,"Docker, Deep Learning, React, JavaScript",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,40 triệu,Ho Chi Minh,"Azure, Docker, Deep Learning",Demo Company,Sample data for demo purposes
Data Analyst,Intern,12 triệu,Hanoi,"NoSQL, Node.js, Deep Learning, SQL, React",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,30 triệu,Ho Chi Minh,"Node.js, AWS, Deep Learning",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,20 triệu,Hanoi,"Node.js, AWS, Docker, SQL, Deep Learning",Demo Company,Sample data for demo purposes
Frontend Developer,Lead,80 triệu,Ho Chi Minh,"Python, Azure, Node.js",Demo Company,Sample data for demo purposes
Business Analyst,Intern,8 triệu,Hanoi,"GCP, Machine Learning, React",Demo Company,Sample data for demo purposes
Product Manager,Junior,20 triệu,Ho Chi Minh,"Node.js, Python",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,30 triệu,Ho Chi Minh,"Docker, NoSQL, Python, Machine Learning, Azure",Demo Company,Sample data for demo purposes
DevOps Engineer,Mid-level,35 triệu,Ho Chi Minh,"Docker, React, SQL, Azure, Deep Learning",Demo Company,Sample data for demo purposes
Backend Developer,Junior,19 triệu,Hanoi,"NoSQL, AWS, Node.js",Demo Company,Sample data for demo purposes
Fullstack Developer,Mid-level,35 triệu,Ho Chi Minh,"SQL, Deep Learning, Java",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,45 triệu,Others,"Docker, AWS, Python",Demo Company,Sample data for demo purposes
Mobile Developer,Senior,40 triệu,Ho Chi Minh,"React, NoSQL, Deep Learning, Machine Learning, JavaScript",Demo Company,Sample data for demo purposes
Project Manager,Manager,165 triệu,Ho Chi Minh,"AWS, Machine Learning, Deep Learning",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,45 triệu,Hanoi,"NoSQL, Python, Node.js",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,70 triệu,Hanoi,"GCP, Java, Docker, Azure, React",Demo Company,Sample data for demo purposes
Project Manager,Junior,20 triệu,Da Nang,"Kubernetes, Docker",Demo Company,Sample data for demo purposes
Data Analyst,Senior,40 triệu,Hanoi,"Java, Deep Learning",Demo Company,Sample data for demo purposes
Backend Developer,Mid-level,40 triệu,Hanoi,"SQL, React, Machine Learning",Demo Company,Sample data for demo purposes
Project Manager,Senior,50 triệu,Hanoi,"Deep Learning, React, SQL, Azure",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,35 triệu,Remote,"Node.js, Deep Learning, React, JavaScript, GCP",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,25 triệu,Ho Chi Minh,"Python, Kubernetes, GCP, Java, JavaScript",Demo Company,Sample data for demo purposes
Fullstack Developer,Senior,50 triệu,Hanoi,"NoSQL, Machine Learning, React, SQL",Demo Company,Sample data for demo purposes
DevOps Engineer,Senior,45 triệu,Hanoi,"Node.js, SQL",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,25 triệu,Da Nang,"GCP, Docker, React, Node.js",Demo Company,Sample data for demo purposes
Business Analyst,Junior,25 triệu,Ho Chi Minh,"React, GCP",Demo Company,Sample data for demo purposes
Project Manager,Senior,45 triệu,Da Nang,"Machine Learning, Azure",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,45 triệu,Hanoi,"JavaScript, AWS, Python, SQL, Machine Learning",Demo Company,Sample data for demo purposes
Data Analyst,Senior,70 triệu,Ho Chi Minh,"AWS, Azure, React, GCP",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,35 triệu,Ho Chi Minh,"React, Deep Learning, GCP, Azure",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,40 triệu,Ho Chi Minh,"Java, GCP, NoSQL",Demo Company,Sample data for demo purposes
Data Analyst,Junior,25 triệu,Ho Chi Minh,"GCP, Java",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,20 triệu,Ho Chi Minh,"NoSQL, Docker, Machine Learning",Demo Company,Sample data for demo purposes
Backend Developer,Junior,13 triệu,Hanoi,"Python, JavaScript, React, Azure",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,45 triệu,Da Nang,"Machine Learning, React, NoSQL, Node.js, SQL",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,40 triệu,Ho Chi Minh,"SQL, React, GCP, Docker",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,35 triệu,Ho Chi Minh,"Java, Azure",Demo Company,Sample data for demo purposes
Product Manager,Lead,65 triệu,Hanoi,"JavaScript, Kubernetes, GCP",Demo Company,Sample data for demo purposes
Data Analyst,Senior,40 triệu,Remote,"React, Java, Kubernetes, GCP, Deep Learning",Demo Company,Sample data for demo purposes
Data Analyst,Senior,60 triệu,Hanoi,"React, Node.js, Python",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,45 triệu,Hanoi,"AWS, Azure, Node.js, Kubernetes, Java",Demo Company,Sample data for demo purposes
QA Engineer,Mid-level,30 triệu,Hanoi,"Node.js, JavaScript, Machine Learning, Docker, NoSQL",Demo Company,Sample data for demo purposes
Data Scientist,Junior,12 triệu,Ho Chi Minh,"React, NoSQL, JavaScript, Azure, Deep Learning",Demo Company,Sample data for demo purposes
Backend Developer,Mid-level,30 triệu,Hanoi,"Node.js, Python, Java",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,40 triệu,Ho Chi Minh,"Azure, SQL, GCP",Demo Company,Sample data for demo purposes
DevOps Engineer,Manager,80 triệu,Ho Chi Minh,"AWS, JavaScript",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,40 triệu,Hanoi,"Node.js, React, Azure",Demo Company,Sample data for demo purposes
Data Scientist,Intern,9 triệu,Hanoi,"AWS, JavaScript, Node.js, Deep Learning",Demo Company,Sample data for demo purposes
DevOps Engineer,Mid-level,40 triệu,Ho Chi Minh,"Machine Learning, Kubernetes, Docker, JavaScript",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,35 triệu,Da Nang,"NoSQL, AWS, React",Demo Company,Sample data for demo purposes
Business Analyst,Junior,25 triệu,Hanoi,"NoSQL, Node.js, JavaScript, Deep Learning, Machine Learning",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,40 triệu,Ho Chi Minh,"Kubernetes, Node.js",Demo Company,Sample data for demo purposes
QA Engineer,Mid-level,30 triệu,Hanoi,"JavaScript, React",Demo Company,Sample data for demo purposes
Backend Developer,Manager,95 triệu,Ho Chi Minh,"Java, NoSQL, Docker",Demo Company,Sample data for demo purposes
Business Analyst,Junior,20 triệu,Ho Chi Minh,"AWS, Node.js, NoSQL",Demo Company,Sample data for demo purposes
Business Analyst,Mid-level,35 triệu,Hanoi,"React, Python, Kubernetes, NoSQL",Demo Company,Sample data for demo purposes
Product Manager,Junior,14 triệu,Hanoi,"Java, AWS",Demo Company,Sample data for demo purposes
Data Scientist,Manager,70 triệu,Hanoi,"Node.js, React, Machine Learning",Demo Company,Sample data for demo purposes
Backend Developer,Manager,170 triệu,Remote,"Azure, SQL, Python, Deep Learning, AWS",Demo Company,Sample data for demo purposes
Fullstack Developer,Junior,18 triệu,Ho Chi Minh,"JavaScript, Azure, Docker, Python",Demo Company,Sample data for demo purposes
QA Engineer,Mid-level,20 triệu,Ho Chi Minh,"JavaScript, Node.js",Demo Company,Sample data for demo purposes
Product Manager,Senior,50 triệu,Ho Chi Minh,"Azure, NoSQL, React, SQL, Machine Learning",Demo Company,Sample data for demo purposes
Project Manager,Junior,8 triệu,Hanoi,"Docker, Machine Learning, Deep Learning, Node.js",Demo Company,Sample data for demo purposes
Product Manager,Senior,45 triệu,Others,"SQL, AWS, Machine Learning",Demo Company,Sample data for demo purposes
Business Analyst,Senior,35 triệu,Ho Chi Minh,"NoSQL, React",Demo Company,Sample data for demo purposes
Data Scientist,Mid-level,35 triệu,Hanoi,"Java, JavaScript, Python, Node.js",Demo Company,Sample data for demo purposes
DevOps Engineer,Manager,80 triệu,Hanoi,"NoSQL, Kubernetes, Azure, JavaScript, GCP",Demo Company,Sample data for demo purposes
Software Engineer,Junior,15 triệu,Ho Chi Minh,"Java, SQL, GCP, React",Demo Company,Sample data for demo purposes
Frontend Developer,Senior,75 triệu,Remote,"Deep Learning, Node.js, Kubernetes, Azure, JavaScript",Demo Company,Sample data for demo purposes
Product Manager,Junior,15 triệu,Hanoi,"Python, Java, SQL",Demo Company,Sample data for demo purposes
Software Engineer,Senior,65 triệu,Ho Chi Minh,"Java, GCP, NoSQL",Demo Company,Sample data for demo purposes
Mobile Developer,Senior,45 triệu,Ho Chi Minh,"Java, Deep Learning, Docker, Azure",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,25 triệu,Ho Chi Minh,"Node.js, React, SQL, Kubernetes",Demo Company,Sample data for demo purposes
Software Engineer,Mid-level,40 triệu,Hanoi,"AWS, Deep Learning",Demo Company,Sample data for demo purposes
Software Engineer,Senior,50 triệu,Hanoi,"AWS, Node.js, Deep Learning, Azure, JavaScript",Demo Company,Sample data for demo purposes
Project Manager,Junior,11 triệu,Hanoi,"Deep Learning, AWS, SQL, Azure, Java",Demo Company,Sample data for demo purposes
Product Manager,Senior,45 triệu,Hanoi,"Azure, SQL",Demo Company,Sample data for demo purposes
DevOps Engineer,Manager,80 triệu,Ho Chi Minh,"GCP, Kubernetes",Demo Company,Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Ho Chi Minh,"Docker, SQL, Deep Learning, Azure",Demo Company,Sample data for demo purposes
Frontend Developer,Junior,15 triệu,Hanoi,"Node.js, Kubernetes, Machine Learning",Demo Company,Sample data for demo purposes
